country_name,price,ranking
Bermuda,279.748,1
Switzerland,266.926,2
Australia,257.057,3
New Zealand,236.631,4
UK,234.09,5
Israel,232.165,6
Luxembourg,230.278,7
Denmark,228.068,8
Ireland,222.32,9
Iceland,220.55,10
Norway,211.697,11
Finland,194.471,12
Netherlands,182.267,13
Canada,175.921,14
USA,170.234,15
Belgium,169.215,16
France,169.016,17
Sweden,165.466,18
Japan,163.915,19
Barbados,162.409,20
Germany,161.346,21
Austria,150.281,22
Qatar,139.451,23
Italy,136.011,24
Spain,135.951,25
Bahamas,129.749,26
Chile,127.484,27
UA Emirates,123.567,28
Singapore,123.176,29
Maldives,122.987,30
Hong Kong,112.78,31
Portugal,110.062,32
Ant.& Barb.,110.028,33
Uruguay,108.248,34
Slovakia,103.223,35
Slovenia,102.011,36
Belize,97.035,37
South Korea,96.827,38
Cyprus,96.142,39
Aruba,94.679,40
Brazil,93.554,41
Greece,93.385,42
Estonia,90.862,43
Czechia,89.812,44
Peru,88.872,45
Costa Rica,85.381,46
Argentina,84.004,47
Latvia,83.933,48
Mexico,82.166,49
Oman,79.93,50
Montserrat,79.029,51
Malta,77.504,52
Gabon,75.103,53
Taiwan,74.741,54
Kuwait,74.388,55
Dominica,72.97,56
El Salvador,72.933,57
China,72.189,58
Jamaica,71.109,59
Colombia,69.184,60
Seychelles,66.923,61
Kenya,64.588,62
Kazakhstan,63.413,63
Hungary,62.637,64
Croatia,61.839,65
Namibia,61.69,66
Bahrain,61.304,67
Lithuania,60.77,68
Guyana,60.131,69
Djibouti,59.623,70
Romania,59.22,71
Saint Lucia,58.936,72
Tr.&Tobago,58.438,73
Haiti,57.264,74
C.A. Republic,55.438,75
Botswana,55.27,76
Ecuador,54.991,77
St. Vincent & ...,54.867,78
Russia,54.561,79
Poland,54.5,80
Rwanda,53.795,81
Grenada,53.507,82
S.T.&Principe,52.307,83
Nigeria,51.963,84
Swaziland,50.994,85
North Macedonia,50.905,86
Albania,49.965,87
Cape Verde,48.58,88
Bulgaria,48.457,89
Tanzania,48.023,90
Montenegro,47.978,91
Turkey,47.851,92
Cambodia,47.687,93
Ghana,47.678,94
Serbia,47.517,95
Vietnam,47.334,96
Angola,46.683,97
Honduras,46.597,98
Zambia,46.315,99
DR Congo,45.677,100
Domin. Rep.,45.149,101
Mongolia,44.734,102
Comoros,43.906,103
Jordan,43.818,104
Zimbabwe,43.133,105
Eq. Guinea,42.777,106
Iran,42.643,107
South Africa,42.503,108
Philippines,42.287,109
Panama,41.884,110
Uganda,41.807,111
Senegal,41.712,112
Saudi Arabia,41.596,113
Paraguay,41.299,114
Nicaragua,40.516,115
Cameroon,40.433,116
Niger,39.977,117
Chad,39.501,118
Brunei,39.29,119
Lesotho,38.932,120
Malaysia,38.869,121
R. of Congo,38.835,122
Bosnia & Herz.,38.29,123
Iraq,38.287,124
Morocco,38.286,125
Fiji,38.128,126
Laos,37.887,127
Georgia,37.851,128
Malawi,36.645,129
Thailand,36.546,130
Bangladesh,36.09,131
Bolivia,35.969,132
Gambia,34.9,133
India,34.561,134
Mauritius,33.682,135
Benin,33.312,136
Sri Lanka,32.959,137
Moldova,32.85,138
Ethiopia,32.798,139
Ivory Coast,32.791,140
Pakistan,32.722,141
Mozambique,31.335,142
G.-Bissau,30.665,143
Madagascar,30.564,144
Nepal,29.9,145
Togo,29.719,146
Indonesia,29.672,147
Armenia,27.374,148
Bhutan,27.241,149
Mauritania,27.181,150
Burkina Faso,27.16,151
Algeria,26.374,152
Suriname,26.346,153
Belarus,26.102,154
Sierra Leone,25.469,155
Liberia,24.373,156
Burundi,23.876,157
Guinea,22.665,158
Azerbaijan,22.43,159
Burma,22.258,160
Tunisia,21.847,161
Sudan,20.973,162
Ukraine,20.884,163
Mali,19.865,164
Kyrgyzstan,12.061,165
Tajikistan,11.373,166
Egypt,10.146,167
